Miles Davis Mix,Miles Davis,So What,9:08
Miles Davis Mix,Miles Davis,Milestones,5:42
Miles Davis Mix,Miles Davis,'Round Midnight,5:55
Miles Davis Mix,Miles Davis All Stars,Solar,4:45
Miles Davis Mix,Miles Davis Quintet,It Never Entered My Mind,5:26
Miles Davis Mix,Miles Davis Quintet,Something I Dreamed Last Night,6:15
Miles Davis Mix,Miles Davis,All Blues,11:33
Miles Davis Mix,Miles Davis,Summertime,3:17
Miles Davis Mix,Michel Legrand & Miles Davis,Concert on the Runway,4:14
Miles Davis Mix,Miles Davis & Milt Jackson,Changes,7:11
Bill Evans Mix,Bill Evans,Five,4:01
Bill Evans Mix,Bill Evans & Jim Hall,Darn that Dream,5:10
Bill Evans Mix,Bill Evans,Dancing in the Dark,4:35
Bill Evans Mix,Bill Evans,Peace Piece,6:44
Bill Evans Mix,Bill Evans Trio,Nardis,5:49
Bill Evans Mix,Bill Evans,These Things Called Changes,3:35
Bill Evans Mix,Bill Evans Trio,Very Early,5:03
Bill Evans Mix,Bill Evans,'Round Midnight,6:34
Bill Evans Mix,Jaden Evans & Bill Evans,Peace Piece,5:38
Bill Evans Mix,Bill Evans & Tony Bennett,Some Other Time,4:42
Nina Simone Mix,Nina Simone,For A While,2:55
Nina Simone Mix,Nina Simone,Feeling Good,2:58
Nina Simone Mix,Nina Simone,Saratoga,3:21
Nina Simone Mix,Nina Simone,My Way,5:15
Nina Simone Mix,"Billie Holiday, Nina Simone, Ella Fitzgerald, & Duke Ellington",Solitude,3:33
Nina Simone Mix,Nina Simone,Plain Gold Ring,3:48
Nina Simone Mix,Nina Simone,I Think It's Going to Rain Today,3:27
Nina Simone Mix,Nina Simone,Mood Indigo,2:26
Nina Simone Mix,Nina Simone,Here Comes the Sun,3:33
Nina Simone Mix,Nina Simone,The Times They Are A-Changin',5:56
Alice Coltrane Mix,Alice Coltrane & Carlos Santana,Illuminations,4:23
Alice Coltrane Mix,Alice Coltrane,Los Caballos,11:27
Alice Coltrane Mix,Alice Coltrane,Atomic Peace,5:56
Alice Coltrane Mix,Alice Coltrane,The Sun,4:05
Alice Coltrane Mix,Joe Henderson & Alice Coltrane,Air,9:58
Alice Coltrane Mix,Alice Coltrane,Om Shanti,6:52
Alice Coltrane Mix,Alice Coltrane,Transcendence,5:57
Alice Coltrane Mix,Alice Coltrane & John Coltrane,Peace on Earth,8:33
Alice Coltrane Mix,Alice Coltrane,Translinear Light,9:50
Alice Coltrane Mix,Alice Coltrane & John Coltrane,Manifestation,11:36
Charlie Parker Mix,Charlie Parker Quartet,Now's the Time,3:01
Charlie Parker Mix,Charlie Parker,Ornithology,2:57
Charlie Parker Mix,Charlie Parker,Scrapple from the Apple,2:53
Charlie Parker Mix,Charlie Parker & Dizzy Gillespie,Bloomdido,3:30
Charlie Parker Mix,Charlie Parker,Cool Blues,3:06
Charlie Parker Mix,Charlie Parker Quartet,Laird Baird,2:45
Charlie Parker Mix,Charlie Parker,April in Paris,3:08
Charlie Parker Mix,"Charlie Parker, Dizzy Gillespie, Bud Powell, Max Roach, & Charles Mingus",Salt Peanuts (Live),7:40
Charlie Parker Mix,Charlie Parker and His Orchestra,K.C. Blues,3:25
Charlie Parker Mix,Charlie Parker,Moose The Mooche,3:04